x,y,z,colorb_v,colorv_i,lum,Mv,mv,hipno,vx,vy,vz,speed,starname
-13.92,39.78,-36.29,0.74,0.79,0.00683,5.4,9.1,601,43.52,-44.42,-10.01,62.98,"0007+2057"
10.53,37.59,-155.43,0.13,0.15,0.85,0.2,6.2,602,10.10,29.81,16.85,35.70,"0007-1723"
6.41,5.50,-47.73,0.46,0.53,0.0352,3.6,7.1,606,-16.66,-32.70,-17.15,40.51,"0007-2521"
-30.93,81.33,-61.80,1.01,0.99,0.133,2.2,7.3,607,-30.05,-30.73,-61.91,75.37,"0007+2627"
-137.12,417.05,-428.54,1.59,1.56,1.55,-0.5,8.5,613,0.67,13.20,5.12,14.17,"0007+1718"
3.87,4.45,-31.97,0.80,0.84,0.0035,6.1,8.7,616,-46.79,-0.93,46.13,65.71,"0007-2349"
-69.97,157.82,-69.83,1.01,0.98,0.384,1.0,7.4,625,-10.86,-11.41,-0.42,15.76,"0007+4004"
-37.09,83.61,-36.87,0.95,0.94,0.198,1.8,6.7,626,34.22,-6.68,13.35,37.34,"0007+4008"
-9.37,66.54,-133.52,-0.15,-0.10,0.599,0.6,6.4,635,-11.22,13.48,-7.44,19.05,"0007-0233"
8.61,12.55,-78.87,0.14,0.16,0.274,1.4,5.9,636,-8.90,-10.19,12.94,18.72,"0007-2231"
-64.02,145.95,-68.86,0.18,0.20,0.26,1.5,7.7,640,31.75,4.76,-3.41,32.28,"0007+3843"
-1.98,35.28,-86.90,0.51,0.58,0.0638,3.0,7.8,649,14.54,25.14,35.35,45.75,"0008-0732"
25.21,6.02,-147.67,0.31,0.35,0.0278,3.9,9.8,653,-7.76,10.14,19.83,23.59,"0008-3001"
19.55,-1.40,-97.86,1.12,1.06,0.537,0.7,5.7,655,28.31,26.81,3.95,39.19,"0008-3332"
-20.11,137.09,-274.73,1.37,1.33,3.19,-1.3,6.2,664,3.77,5.25,2.99,7.12,"0008-0227"
-1.14,36.51,-95.39,1.03,0.99,0.419,0.9,6.0,671,32.79,16.94,-14.79,39.76,"0008-0849"
-9.26,23.23,-16.14,-0.04,-0.10,1.32,-0.3,2.1,677,5.21,-12.20,-8.72,15.88,"0008+2905 alf And Alpheratz"
-5.65,22.28,-32.45,0.63,0.69,0.0146,4.6,7.6,682,-4.38,5.86,7.83,10.72,"0008+0637"
119.77,-78.10,-410.60,0.16,0.17,0.215,1.7,9.9,684,-34.47,7.52,20.04,40.58,"0008-4416"
15.53,17.21,-129.52,0.51,0.58,0.159,2.0,7.6,688,-19.79,5.54,5.67,21.32,"0008-2405"
-217.18,406.40,5.90,1.00,0.98,5.8,-1.9,6.4,695,32.44,20.14,3.11,38.31,"0008+6312"
25.93,94.75,-401.38,1.66,1.84,6.14,-2.0,6.1,696,28.68,-82.93,3.35,87.81,"0008-1735"
-11.87,27.38,-14.20,0.50,0.58,0.0358,3.6,6.2,699,37.40,6.54,-1.16,37.98,"0008+3638"
-76.97,133.41,31.58,-0.01,0.01,0.261,1.5,7.4,701,-25.26,0.04,18.90,31.55,"0008+7412"
-39.26,124.24,-141.94,1.12,1.09,0.271,1.4,7.8,704,15.89,-35.33,11.75,40.48,"0008+1408"
40.48,-6.91,-194.52,0.47,0.54,0.279,1.4,7.9,706,-1.34,19.50,24.92,31.67,"0008-3447"
